index,episode no,name,line
41,251,moeen,میں- معاف کرنا غصے میں اداس نکل جاتا ہوں- یہ بات نہیں ہے ظاہر ہی بات ہے کہ ابا ہارمونیم بجاتے تھے- 
42,251,anwar,کہاں بجاتے تھے- 
43,251,moeen,ہم- 
44,251,anwar,کہاں بجاتے تھے- 
45,251,moeen,ابا ہارمونیم کہاں بجاتے تھے؟  کسی کے پیچھے بجاتے تھے- 
46,251,anwar,کس کے پیچھے بجاتے تھے؟ 
47,251,moeen,اونٹ کے پیچھے- 
48,251,anwar,کیا- 
49,251,moeen,ابے سالے جب ظاہر ہے جب ہارمونیم بجائیں گے تو معاف کرنا میں غصے میں اداس نکل جاتا ہوں جب ظاہر ہے ہارمونیم بجائیں گے تو کسی نہ کسی کے پیچھے تو بجائیں گے نا خاتون کے پیچھے بجاتے تھے-  
50,251,anwar,خاتون گانے گاتی تھی- 
51,251,moeen,ہم- 
52,251,anwar,خاتون گانے گاتی تھی- 
53,251,moeen,نہیں خبر پڑھتی تھی- خبریں پڑھتی تھی- 
54,251,anwar,کيا مطلب- 
55,251,moeen,ابے سالے جب- 
56,251,anwar,تمیز سے بات کریں- 
57,251,moeen,معاف کرنا میں غصے میں اداس نکل جاتا ہوں بھئی ظاہر ہے وہ خاتون کے پیچھے جب ابا ہارمونیم بجاتے تھے تو اس کا مطلب یہی ہے نا کہ خاتون گاتی تھی، ٹھومری گاتی تھی، غزلے گاتی تھی- 
58,251,anwar,مشہور تھی- 
59,251,moeen,ہم- 
60,251,anwar,مشہور تھی- 
61,251,moeen,نہیں خیر اتنی بھی مشہور نہیں تھی۔ مشہور تھی لیکن ان کی وجہ شہرت کو دوسری تھی۔ اصل میں ان کی گائیکی کی تعریف میں حکومت پاکستان نے ان کو تمغہ حسن کارکردگی نہیں دیا بلکہ public کے آٹھ دس لوگوں نے ان کو تمغہ حسن کارکردگی دیا۔ ان میں مجھے یاسین بھائی نے بتایا کہ ایک نام آپکا بھی تھا- 
62,251,anwar,فضول باتیں مت کریں آپ- 
63,251,moeen,تو میں نے کہا کہ بھائی جب آپکا نام ہے تو اس نعتیں سے میں یہاں پر اس پروگرام میں ہے ورنہ میرا اس پروگرام میں کیا تعلق ہے- 
64,251,anwar,آپ فضول باتیں مت کریں- 
65,251,moeen,یہ آپ کرتے ہیں سیاسی باتیں- 
66,251,anwar,جو سوال آپ سے کیا جائے صرف اس کا جواب دیں اور یہ سنی سنائی باتوں پی یقین مت کریں- 
67,251,moeen,اچھا- 
68,251,anwar,میں نہیں جانتا اونکھا- 
69,251,moeen,جو اپنے پہ آئی تو سنی سنائی ہو گئی۔ خیر- 
70,251,anwar,آج کل آپ دھن بنا رہے ہیں- 
71,251,moeen,آج کل میں دھن بنا رہا ہوں قومی قومی نغمے کی دھن بنا رہا ہوں- 
72,251,anwar,قومی نغمے کی دھن- 
73,251,moeen,قومی نغمہ ہے لیکن دھن آہی نہیں رہی ہے- 
74,251,anwar,لکھا کس نے ہے یہ قومی نغمہ- 
75,251,moeen,ہم- 
76,251,anwar,یہ قومی نغمہ لکھا کس نے ہے- 
77,251,moeen,یہ قومی نغمہ یہ لکھا ہے توہمت مراد آبادی نے- 
78,251,anwar,توہمت؟ 
79,251,moeen,مراد آبادی- 
80,251,anwar,مراد آبادی- 
81,251,moeen,ہم- 
82,251,anwar,کون ہیں یہ؟ 
83,251,moeen,یہ- 
84,251,anwar,شاعر ہیں؟ 
85,251,moeen,روس کے صدر ہیں۔ رشیا کے صدر ہیں توہمت مراد آبادی- 
86,251,anwar,کیا باتیں کر رہے آپ؟ 
87,251,moeen,ابے سالے جب ظاہر ہے ایک آدمی جب شعر کہہ رہا ہے تو شاعری ہوگا- 
88,251,anwar,حسب تبیہ- 
89,251,moeen,معاف کرنا- غصے میں اداس نکل جاتا ہوں- 
90,251,anwar,تمیز سے بات کریں- 
91,251,moeen,بھائی وہ شاعر ہیں، شاعر ہیں- 
92,251,anwar,ایک تو آپ لوگوں کو بلاؤ اپنے پروگرام میں پھر آپ پتہ نہیں کتنی طرح کی زبان آپ لوگ استعمال کرتے ہیں- 
93,251,moeen,نہیں زبان، دیکھو آج انسان کو منافقت نہیں کرنی اوریجنل ہونا چاہیے۔ تم لوگ جھوٹے ہو عام زندگی میں میں نے آپکو دیکھا ریکارڈنگ میں کس قدر گرم گلوب بدتمیزی، بے حودگی یہاں کے موجودہ ہم ایسے ہی ہیں جو ہیں وہ ہیں- 
94,251,anwar,بول کیا ہے ترانے کی جو قومی ترانے کے بول کیا ہے- 
95,251,moeen,یہی تو نہیں بتا رہا وہ شاعر ہیں یہی تو وہ نہیں بتا رہا پوری پیمنٹ لے چکا ہے ایک سو ستروں روپے کیش پیمنٹ کر چکا ہے- 
96,251,anwar,ترانے کے ایک سو ستروں روپے- 
97,251,moeen,ایک سو ستروں روپے۔ میں نے کہا بھائی اب تو مجھے بول بتا دو کہہ رہا ہے نہیں پہلے دھن بتا اب دھن جو ہے وہ نکل نہیں رہی ہے۔ صبح سے بیٹھا ہوا ہوں  کہ اب نکلی جب نکلی اب نکلی جب نکلی بہت زور لگایا کسی طرح ہارمونیم پہ آجائے نہیں آ رہی- 
98,251,anwar,کیا دھن کیا ہے؟ ذرا سنیئے مجھے کیا بنائی ہے- 
99,251,moeen,ہارمونیم  بجانا نہیں آتا سیکھ رہا ہوں۔ تم دیکھ لینا سیکھ جاؤں گا-  
100,251,anwar,بس شکریہ بس- 
101,251,moeen,یہ ہے اصل میں چیپ کا باند- 
102,251,anwar,ایسا کریں- 
103,251,moeen,یہاں سے الاف سے شروع ہوگی  یہاں سے بجے گا پھر آئے گا-  
104,251,anwar,آپ میری بات سنو- 
105,251,moeen,جو بھی- 
106,251,anwar,میں بات سنو- 
107,251,moeen,بول لکھ کے دے منوس بول نہیں لکھ کے دے رہا ہے دھن آتی ہے نکل جاتی ہے- 
108,251,anwar,ٹھیک ہے ٹھیک ہے ایسا کریں تھوڑی دیر کو ہارمونیم کو بھول جائیں- 
109,251,moeen,اچھا- 
110,251,anwar,اور اس قومی نغمے کو بھول جائیں- 
111,251,moeen,بھول گیا- 
112,251,anwar,اور کوی اور بات کرتے ہیں- 
113,251,moeen,اچھا کوئی اور بات کرتے ہیں- 
114,251,anwar,جی- 
115,251,moeen,وہ جو خاتون جسکا میں زکر کیا اسکی ایک بیٹی تھی وہ کہاں ہے آج کل؟ 
116,251,anwar,آپکا دماغ درشت ہے؟ کس قسم کے سوال کر رہے ہیں آپ مجھ سے؟ 
117,251,moeen,ابے تو جس قسم کے سوال کا جواب آتا ہے اس قسم کا سوال کر مجھ سے سالے تو- معاف کرنا میں غصے میں اداس نکل جاتا ہوں۔ تب تم نے کہا کہ کوی اور بات کریں تو میں نے پوچھا کہ ان کی بیٹی کہاں ہے بتاؤ جواب دو کہاں ہے وہ؟ 
118,251,anwar,میں نہ انکو جانتا ہوں نہ ان کی بیٹی کو جانتا 
119,251,moeen,تمیز کا طبعہ فاڑ کے ہارمونیئم رکھ دیتا ہوں۔ تمیز، تمیز، تمیز۔ ملک کے حالات دیکھو اور مجھ سے کہہ رہے ہو۔ تم ہی سے بات کرو۔ 
120,251,anwar,بھائی آپ جو بات کہہ رہے ہیں وہ بھی کسی حد تک درست ہے مگر مجھے آپ کسی ایک ملک کا نام بتائیے جہاں کے حالات اچھے ہوں۔  مجھے آپ کسی ایک ملک کا نام بتائیے جہاں کے حالات اچھے ہوں۔ اسلام آباد۔ اسلام آباد ملک نہیں ہے، پاکستان کا دارالخلافہ ہے۔ 
121,251,moeen,ابے نہ روٹی ہے، نہ کپڑا ہے، نہ مکان ہے۔ سمجھ میں آیا بات وہ کہہ رہے ہو۔ تمیز، تمیز، تمیز، تمیز سے بات کرو۔ 
122,251,anwar,بہت سے کو پاس کے سب کچھ نہیں ہے مگر وہ تمیز کا دامن اپنے ہاتھ سے نہیں چھوڑتے۔ کس پارٹی کو ووٹ دیا آپ نے؟ کس پارٹی کو ووٹ دیا ہے؟ 
123,251,moeen,مسلم لیگ تے کو۔ 
124,251,anwar,مسلم لیگ تے یہ کون سی پارٹی ہے؟ 
125,251,moeen,مسلم لیگ تے کوئی پارٹی نہیں ہے۔ اسی لیے اس کو ووٹ دیا۔  
126,251,anwar,اسکو تھوڑی دیر روکیے۔ 
127,251,moeen,ہارمونیئم بجانے میں تو تکلیف ہو رہی ہے۔ 
128,251,anwar,نہیں، نہیں۔ 
129,251,moeen,میرے ہارمونیئم- 
130,251,anwar,میرا مطلب ہے کہ یہ جو فیصلے ہیں ابھی دیکھیے نئی حکومت ہے۔ کچھ فیصلے کر رہے ہیں یہ لوگ اور سب چیزیں سستی ہو جائیں گی، حالات بدلیں گے۔ 
131,251,moeen,سب فیصلے کر رہے ہیں؟ 
132,251,anwar,جی۔ 
133,251,moeen,یہ فیصلے کر رہے ہیں؟ غیر ملکی ہوٹلوں کے اندر بیٹھ کر ملکی فیصلے کر رہے ہیں۔ جو مرضی آرہی ہے کھا رہے ہیں۔ قیمتی سوٹ پہن رہے ہیں۔ آٹھ، آٹھ مکان ہیں۔ گھر میں گانوں کی موسیقی کی محفلیں ہو رہی ہیں اور غریب کے لیے آٹھ روپے کی روٹی۔ 
134,251,anwar,یہ حکومت ابھی نی آئی ہے۔ خود مشکلات میں مہاکہ گرفتار ہے  یہاں ہارمونیئم نہ بجانا، ہارمونیئم نہ بجائیں، ہارمونیئم نہ بجائیں۔ 
135,251,moeen,اور یہ لوگ جو اس ملک کا ہارمونیئم بجا رہے ہیں تو تم کچھ نہیں کہہ رہے۔ مینے ایک ہارمونیئم پر ٹیون ٹھیلی دی تو تمہیں اعتراض ہو رہا ہے۔ 
136,251,anwar,مجھے اعتراض نہیں ہے مگر آپ نے خود فرمایا کہ آپ کو ہارمونیئم بجانا نہیں آتا۔ 
137,251,moeen,ہیں؟ 
138,251,anwar,آپ نے خود کہا مجھ سے کہ آپ کو ہارمونیئم بجانا نہیں آتا۔ 
139,251,moeen,حکومت کو ہارمونیئم بجانا بجانا آتا ہے؟ ہارمونیئم بجانا بجانا آتا نہیں پھر بھی بجا رہی ہے نا ہارمونیئم۔ 
140,251,anwar,عوامی حکومت آئی ہے پاور میں۔ 
141,251,moeen,تو کتنی دفعائیں آئے گی؟ 
142,251,anwar,آرام سے، آرام سے ۔ کیا ہو گیا؟ 
143,251,moeen,رو رہا ہوں۔ 
144,251,anwar,کیوں؟ 
145,251,moeen,دو مہینے سے گوشت نہیں کھایا میں نے، دو مہینے سے گوشت نہیں کھایا۔ 
146,251,anwar,دو مہینے سے؟ 
147,251,moeen,گوشت نہیں کھایا۔ 
148,251,anwar,ارے کوئی بات نہیں یہ تو صحت کیلئے بہت اچھی بات ہے۔ 
149,251,moeen,بتاؤ نہ روٹی خرید سکتے ہیں، نہ آٹا خرید سکتے ہیں، نہ چاول خرید سکتے ہیں، نہ چینی خرید سکتے ہیں اور کہتے ہیں کہ ملک جو ہے ترقی کی جانب گامزن ہے۔ یہ کس قسم کی ترقی ہے؟  کامران اکمل لگ رہے ہیں مجھے۔ آپ بالکل گریٹ پیک پلیر لگ رہے ہیں مجھے آپ۔ اچھا یہ بتائیے بیوی بچے ہیں؟ کامران اکمل بھی ہارمونیئم بجاتا ہے؟ 
150,251,anwar,نہیں وہ بیوی بچے ہیں آپ کے؟ 
151,251,moeen,میرے؟ 
152,251,anwar,جی۔ 
153,251,moeen,دو بیویاں ہیں اور آٹھ بچے ہیں۔ 
154,251,anwar,اپنی آمدنی دیکھی اور اپنی حرکتے۔ 
155,251,moeen,حرکاتوں سے کیا تعلق ہے بے شادی کا؟ 
156,251,anwar,دو بیویاں! 
157,251,moeen,ابے ضرورت تو ایک بیوی کی بھی نہیں تھی۔ بس کیا کریں؟ دو بیویاں اور ان کے جو آٹھ بچے ہیں  بہت مجھ سے بدتمیزی کرتے ہیں اور کئی دفعہ وہ ہارمونیئم کھینچ کے مجھے مارا۔ یہ دیکھو پیسے دے دے کے ریپائر کروایا۔ ایک دفعہ تو میرے آٹھویں بچے نے میرا آڑہ چوتالا نکال دیا ہارمونیئم کا ۔ 
158,251,anwar,گفتگو جاری ہے۔  آپ ساتھ دیکھے- 
159,251,moeen, بوہ، بوہ، بوہ، بوہ، بوہ۔ 
160,251,anwar,جی اسکو بند کر دیں۔ پلیز، پلیز بند کر دیں اسکو۔ دوسرا وقفہ بھی ختم ہو چکا ہے۔ 
161,251,moeen, دوسرا، دوسرا وقفہ بھی ختم ہو چکا ہے۔ 
162,251,anwar,آپ کے آٹھ بچے ہیں اور دو بیویاں۔ 
163,251,moeen,جی اصل میں- 
164,251,anwar,آٹھ بچے اور دو بیویوں کا پالنا اس مہنگائی کے دور میں میری کچھ سمجھ سے باہر ہے۔ 
165,251,moeen,شیان پتی نہیں، شیان پتی نہیں۔ پہلی میری جو شادی تھی وہ میرے ابا کے حکم سے ہوئی جی، ان کی پسند کی تھی، ناکام ہو گئی۔ 
166,251,anwar,آپ ناکام کریں پہلی شادی سے آپ کے تین بچے ہیں۔ 
167,251,moeen,ابے شادی ایک امتحان ہوتی ہے، جس امتحان میں میری بیوی فیل ہو گئی۔ مجھے مجبورan سپلمینٹری میں بیٹھنا پڑا۔ 
168,251,anwar,پہلی کو چھوڑ دیا! 
169,251,moeen,نہیں کیسے چھوڑ سے؟ اظہار بند خریدنے کے پیسے نہیں ہے مہر کے پیسے کہاں سے ادا کرتے؟ 
170,251,anwar,آپ کے پاس اظہار بند خریدنے کے پیسے نہیں ہیں- -اور آپ نے دوسری شادی کر لی۔ 
171,251,moeen,یک بات بتاو یہ تم مہنگائی سے ہٹ کر میری بیویوں کی طرف کیوں آگئے ہو ؟ 
172,251,anwar,میرا مطلب تھا کہ انسان کو چادر دیکھ کے پاؤں پھیلانا چاہیے۔ 
173,251,moeen,میں جب پیر پھیلاتا ہوں تو چادر میں تین فٹ جگہ بچی ہے۔ میں تو تیسری کی سوچ رہا ہوں۔  
174,251,anwar,آپ میرے پروگرام میں کیوں آئے؟ 
175,251,moeen,کس میں؟ 
176,251,anwar,میرے پروگرام میں کیوں آئے؟ 
177,251,moeen,میں نے سنا تھا کہ جو بھی آرٹسٹ تمہارے پروگرام میں آتا ہے ہٹ ہو جاتا ہے۔ 
178,251,anwar,جی؟ 
179,251,moeen,میں نے سنا تھا کہ تمہارے پروگرام میں جو بھی آرٹسٹ آتا ہے ہٹ ہو جاتا ہے۔ تو میں اس لیے آیا ہوں۔ 
180,251,anwar,آپ کو تو ہارمونیئم بجانا بھی نہیں آتا۔ 
181,251,moeen,یاد رکھنا ہارمونیئم اور تعلیم کسی بھی عمر میں پائی جا سکتی ہے۔ 
182,251,anwar,مجھے آپ کے آٹھ بچوں کی فقر ہے۔ 
183,251,moeen,کیا ہے؟ 
184,251,anwar,میری فقر ہے آپ کے آٹھ بچوں کی۔ 
185,251,moeen,تو میں میرے آٹھ بچوں کی فقر ہے، تمہیں ان کی فقر کرنے کی ضرورت نہیں ہے، ان کی فقر کر رہا ہوں، تم میری فقر کرو۔ 
186,251,anwar,نوکری کریں گے آپ؟ 
187,251,moeen,ہیں؟ کس قسم کی؟ 
188,251,anwar,کوئی بھی، مطلب اب تو مزدور کی تنخواہ بھی کم سے کم چھ ہزار روپے ہے۔ 
189,251,moeen,نہیں، نہیں بھیا میں وزن نہیں اٹھا سکتا، میں وزن نہیں اٹھا سکتا۔ میں صرف بیوی کو سوتے ہوئے سوتے ہی میں سے اٹھا سکتا ہوں۔ ویسے یک بات سنو اگر کسی ادارے کا ایم ڈی اچھا کام نہیں کر رہا ہے تو مجھے اس ادارے میں ایم ڈی لگوا دو۔  
190,251,anwar,میں سنجیدہ بات کر رہا ہوں۔ آپ مذاق کے موڈ میں ہیں۔ نوکری کرنا چاہیں گے؟ گاڑی چلانا آتی ہے آپ کو؟ 
191,251,moeen,گاڑی، نہیں بھئی میں صرف ہاتھ چلانا جانتا ہے۔ سنو اگر تم واقعی سجدہ ہو کہ مجھے تم دلوا دو کوئی کام تو سندھی ویڈیو میں مجھے میل ماڈل کا رول دلوا دو۔ 
192,251,anwar,قائم ہے؟ 
193,251,moeen,سندھی گانوں کے ویڈیو میں میل ماڈل کا مجھے رول دلوا دو ہاتھ اٹھا ڈالوں گا میں۔ اچھا ایک کام کرتے ہیں تو میں تمہیں تھوڑا سا وہ دے دیتا ہوں، اہ بتا دیتا ہوں تھوڑا سا ریہرسل کر کے تم تھوڑی دیر کیلئے ماڈل بن جاؤ لڑکی۔ 
194,251,anwar,پاگل ہوۓ ہیں آپ؟ 
195,251,moeen,نہیں، ایک دفعہ تم اپنے آپ کو حسین سمجھو، تم سمجھو کہ تم ایک خوبصورت خاتون ہو۔ موڈ بخر ہے آپ کا؟ 
196,251,anwar,نہیں، مجھے پتا ہے میرا دماغ خراب ہو گیا اس وقت ہے، لکن تم ایسی کہہ رہا ہوں اتارو چشما اتارو، چشما اتارو۔ چشما، چشما ایسکو، چشما اتارو، تم کس کو سمجھ رہے ہو؟ چشما، چشما، چشما کوئی چشما نہیں، چشما اتارو، اوہوہو، اب میں گانا شروع کر رہا ہوں، اب تم نے فیملی ماڈل بننا ہے۔ نہیں بھائی میں نہیں کرسکتا۔ 
197,251,moeen,دکھاتا ہوں میں تم کو، دیکھو مزا آئے گا، ہممم۔ 
198,251,anwar,میں کیا کروں؟ 
199,251,moeen,میں تم صرف اداکاری کرو، اب میں گانا گاتا ہوں، تمہارے پاس آرہا ہوں۔  راحت ملی تھی درد میں- ہاں بالکل صحیح، بالکل صحیح ایسے ہی رہو، منہ چھپایا رکھنا- راحت ملی تھی درد میں، ماں پیار عطا صدقے۔ اللہ معاف کرے بہت مانوس لگ رہے ہو مت کرو رہن لو، رہن لو بہت برے لگ رہے ہو توبہ توبہ توبہ تھورا موڈ خراب کر دیا، میں اکیلا گا لیتا ہوں  ان پیار عطا- 
200,251,anwar,یہ چلو دیجیے! 
201,251,moeen,کیسے، کیسے تھا، یوں کرنا، یوں کرنا، ایک دو یوں کرو، ایک دو یوں کرو۔ 
202,251,anwar,بس ہو گیا۔ 
203,251,moeen,کرو، کرو نا، کتنے مانوس لگ رہے ہو، خوفناک ڈکیت  یہ جا کے دیجیے، ایسے بھی لوگ ہیں۔ 
204,251,anwar,دلدا غم- 
205,251,moeen,خدا حافظ۔ 
206,46,anwar, السلام علیکم. لوز ٹاک کے ساتھ انور مقصود آپ کی خدمت میں پاکستان میں اگر کوئی کرکٹ میچ ہو رہا ہو تو سارے کام رک جاتے ہیں۔ سارا ملک کرکٹ کو ٹیلی ویژن پر دیکھتا رہتا ہے۔ ہمارے بھائی ہیں۔ بنگلہ دیش کی کرکٹ ٹیم آجکل یہاں آئی ہوئی ہے۔ تین میچ کھیلے، تین ٹیسٹ کھیلے وہ تینوں بنگلہ دیش نے ہارے۔ اس کے بعد ابھی تک تین ون ڈے کھیل چکے ہیں۔ ان میں بھی بنگلہ دیش کو کامیابی نصیب نہیں ہوئی ہماری خوش نصیبی کہ ہمارے سٹوڈیوز میں اس وقت بنگلہ دیش کرکٹ ٹیم کے ایک کھلاڑی موجود ہیں۔ تو آئیے ان سے کرکٹ پر بات کرتے ہیں۔ السلام علیکم۔ 
207,46,moeen,یہ کون سا آ-آ-آ انٹروڈکشن کروایا ہے؟ ایک دم انسولٹ کیا ہے آپ نے۔ مہمان کو بولا کے ایک دم انسولٹ کیا۔ آپ کو بات کرنا چاہیے کہ ہم بنگلہ دیش کے ایک کرکٹر سے آپکو مل رہا ہے۔ ابھی ڈیٹیل میں جانے کا کیا ضرورت ہے کہ تین کھیل دیا وہ بھی ہار گیا۔ اس کے بعد میں تین ٹیسٹ کھیل گیا وہ بھی ہار گیا تو یہ تو ایک دم بے عزتی کر دیا نا آپ نے ایک دم۔ آپ کو ایسا بولنا چاہیے کہ ابھی ہم آپ کو ملاقات کر رہا ہے بنگلہ دیش کے ایک پلیئر سے یہ ہوتا ہے بات۔ 
208,46,anwar,میں معافی مانگتا ہوں اگر آپ کو برا لگا ہے یہ 
209,46,moeen,ایک دم لگ گیا 
210,46,anwar,جو فیکٹ ہے وہ تو فیکٹ ہے- 
211,46,moeen,دیکھے گا، دیکھے گا، آپ کیا بولا؟ آپ، جب، جب، جب آپ ہم سے بات کیا ہم آپ کو شروع میں منع کر دیا تھا کہ ہم نہیں کر رہا تھا ہمارا لینگویج پروبلم ہے، بولا تھا آپ کو، آپ بولا ہم اجت دے گا۔ ٹی وی کے اوپر بولا کہ اجت دے گا آپ، یہ کون سی اجت دی ہے ہم، ہم، ہمارے کو اپ نے۔ 
212,46,anwar,مگر میرے بھائی یہ جو ریزلٹ ہے- 
213,46,moeen,نہیں بھائی نہیں بولوں گا، بھائی بولتا تو آپ بے عزتی کا بات نہیں کرتا ہمارا، بھائی نہیں بولوں گا 
214,46,anwar,سلام وعلیکم ۔ لوس ٹاک کے ساتھ انور مقصود آپ کی خدمت میں لوس ٹاک میں آج میرے مہمان ہیں  معاف کیجئے گا تھوڑا انہوں نے مجھے پریشان کر دیا، لوس ٹاک میں آج میرے مہمان ہیں بنگلہ دیش کی کرکٹ ٹیم کے ایک کھلاڑی۔ 
215,46,moeen,تم کو اک دم کھانسی آگیا ہے ۔ آم سوری ہم اپنا الفاظ وصف لیتے ہیں تم ویمر ہے اس کا اس کی وجہ سے ہمارا شاید بات کر دیا چلو ٹھیک ہے ہم کو خوشی ہوگیا ادھر آ کے 
216,46,anwar,نہیں مجھے اچھا لگ رہا ہے کہ میں آپ سے بات کر رہا ہوں۔ 
217,46,moeen,ہم کو بھی بہت لگ رہا ہے۔ 
218,46,anwar,پاکستان آپ اس سے پہلے آ چکے ہیں؟ 
219,46,moeen,ہمارے دیش میں جب بھی کوئی کانفرنس کرتا ہے تو اس کا یہ ہو جاتا ہے کہ ٹوٹل جس کو بولا رہا ہے اس کا پورا انفارمیشن ہونا چاہیے۔ آپ کے پاس میں پورا انفارمیشن نہیں ہے ہم کارکشن کرتے ہیں، آپ بولا کہ کیا بولا؟ آپ کا سوال کیا تھا؟ 
220,46,anwar,پاکستان آپ پہلے بھی آ چکے ہیں۔ 
221,46,moeen,کیسے دیکھو گے سونٹی ون میں ہم پیدا ہو گیا تو اس سے پہلے کیسے جا سکتا ہے پہلے ٹائم آیا ہے۔ 
222,46,anwar,کیسا لگا؟ 
223,46,moeen,ہم ادھر گھومنے پھرنے نہیں آیا ہے کہ کیسا لگ گیا۔ ہم ادھر کرکٹ کھیلنے آیا تھا 
224,46,anwar,ایک بات تو سب جانتے ہیں کہ ہماری ٹیم آپ کی ٹیم سے اچھی ہے۔ 
225,46,moeen,ایک بات سب لوگ جانتے ہیں کہ ہمارا ایکسپورٹ تمہارا ایکسپورٹ سے سب سے زیادہ اچھا ہے۔ 
226,46,anwar,میں سمجھا نہیں۔ 
227,46,moeen,آپ سمجھ رہے ہیں۔ 
228,46,anwar,میں کرکٹ کی بات کر رہا ہوں 
229,46,moeen,آپ سمجھ جائیں گے کہ ہم کچھ اور بات کر رہے ہیں۔ دیکھو ہمارے ملک میں ایکسپورٹ جو ہے بہت زبردست ہے اور سب ایکسپورٹ ہوتا ہے، جوت ایکسپورٹ ہو رہا ہے، ادھر ہمارا ٹی جو چوئے ہے، تم لوگ پیتا ہے چوئے ایکسپورٹ ہو رہا ہے، بہت ساری چیزیں ادھر سے ایکسپورٹ ہو رہا ہے۔ 
230,46,anwar,نہیں، آپ کی بات میں مان رہا ہوں۔ 
231,46,moeen,مانگنا اچھا بات ہے دیکھو اچھا بات کو مان لینا آدمی کو بڑا ہی ہوتا ہے 
232,46,anwar,مگر میرا پروگرام کرکٹ پر ہے۔ 
